Time,allItems,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",YearGroup,IncreaseSpeed,IncreaseSpeedNormalized,MonthCPI,FoodMonthCPI,ShelterMonthCPI,HouseholdMonthCPI,ClothingMonthCPI,TransportationMonthCPI,HealthMonthCPI,RecreationMonthCPI,AlcoholicMonthCPI
21-Jan,133.6,150.7,129.3,121.6,101.7,145.7,125.7,126.3,159,6,0.006024096,0.534362803,0.013657056,0.02100271,0.024564184,0.013333333,-0.094390027,0.019594122,0.02278275,0.0104,0.006329114
21-Feb,134.1,151.1,129.1,121.4,103.7,147.9,126,126.2,158.2,6,0.003742515,0.449333727,0.018223235,0.02440678,0.024603175,0.014202172,-0.043357934,0.019297037,0.030253475,0.013654618,0.008285532
21-Mar,134.9,151,130.6,120.1,106.4,150.1,126,126.4,159.4,6,0.005965697,0.532186407,0.021196064,0.010033445,0.033227848,0.010092515,-0.024747938,0.034458994,0.026894866,0.017713366,-0.00375
21-Apr,135.2,150.8,131.2,121.4,107,148.8,128.5,126.4,159.5,6,0.00222387,0.392737448,0.017306245,0.014122394,0.034700315,0.012510425,-0.028156222,0.017088175,0.04217356,-0.002367798,-0.005610973
21-May,135.1,152.2,131.5,121,107.4,145.9,128.3,128.1,160,6,-0.000739645,0.282294358,0.021164021,0.023537323,0.035433071,-0.001650165,-0.045333333,0.030367232,0.041396104,0.017474186,-0.00373599
21-Jun,135.8,152.8,132.7,121.5,106.5,146.5,127.6,128.7,160.2,6,0.005181347,0.502955557,0.035060976,0.02688172,0.047355959,-0.001643385,0.022072937,0.060057887,0.026548673,0.03373494,-0.005586592
21-Jul,136.7,152.9,133.1,121.8,106,149.5,128.9,131.8,160,6,0.006627393,0.556846232,0.039543726,0.021376086,0.055511499,0.014154871,0.030126336,0.05579096,0.035341365,0.049363057,-0.001871491
21-Aug,137,153.2,133.4,121.9,105.9,149.9,128.6,131.7,162.5,6,0.002194587,0.391646146,0.033182504,0.019294744,0.05621536,0.007438017,0.015340364,0.034506556,0.035426731,0.039463299,0.00931677
21-Sep,137.2,154.2,134,121.5,106.4,148.2,129.8,132,162,6,0.001459854,0.364264419,0.034690799,0.023904382,0.062648692,0,0.040078201,0.023480663,0.040898156,0.038552321,0.00871731
21-Oct,137.9,154.9,135.2,122,107.4,149.4,130.1,131.6,163,7,0.005102041,0.5,0.041540785,0.036813922,0.068774704,0.004115226,0.027751196,0.042568039,0.03418124,0.037037037,0.013681592
21-Nov,138.1,156.3,135.7,121.2,106.4,149.4,130.7,130.5,162.8,7,0.001450326,0.363909344,0.042264151,0.048993289,0.065149137,-0.002469136,0.002827521,0.052854123,0.034018987,0.028368794,0.023899371
21-Dec,138,156.6,136.4,121.7,102.8,149.4,129,129.7,161.3,7,-0.000724113,0.282873199,0.038374718,0.048192771,0.059006211,0.000822368,-0.04193849,0.052854123,0.019762846,0.029365079,0.01702396
22-Jan,139.4,158.3,137.6,121.8,104.3,152.3,129.5,130.7,165.2,7,0.010144928,0.687936314,0.04576144,0.055333333,0.06501548,0.000821693,-0.043119266,0.071026723,0.019685039,0.042264753,0.043588124
22-Feb,140.4,159.8,138.7,122.4,104.6,153.9,129.3,132.4,164.5,7,0.007173601,0.577202093,0.057228916,0.0625,0.076027929,0.017456359,0.020487805,0.073221757,0.029458599,0.053301512,0.045108005
22-Mar,143,162,140.5,125.5,105.7,159.8,129.1,135,166.9,7,0.018518519,1,0.070359281,0.074983411,0.086620263,0.032072368,0.039331367,0.096774194,0.027048528,0.06888361,0.049685535
22-Apr,144.2,163,141.9,126.3,106.7,162.9,132.3,133.9,167,7,0.008391608,0.622594307,0.075316928,0.078755791,0.099147947,0.040362438,0.028929605,0.101419878,0.05,0.061014263,0.05562579
22-May,146.1,164,142.6,128.4,108.3,167.5,132.2,137.7,168.7,7,0.013176144,0.800902502,0.083024463,0.086092715,0.091883614,0.069109076,0.017857143,0.115922718,0.049206349,0.089398734,0.058343789
22-Jun,146.5,163.6,143,129,107.7,167.9,132,139.6,168.7,7,0.002737851,0.411892298,0.083579882,0.084880637,0.089939024,0.062602965,0.006542056,0.128360215,0.027237354,0.10443038,0.057680251
22-Jul,147.6,166.8,143.7,129,104.8,169.4,132.6,142.2,173,7,0.007508532,0.58968418,0.092524056,0.095926413,0.092775665,0.066115702,-0.024208566,0.161069225,0.033515199,0.110070258,0.08125
22-Aug,147,167.6,143.7,128.9,102.6,166.2,132.9,140.1,173.9,7,-0.004065041,0.158364823,0.082474227,0.096858639,0.082893745,0.06090535,-0.036619718,0.13447099,0.04153605,0.088578089,0.085518102
22-Sep,147.8,168.4,144.1,129.9,106.7,167.4,134.4,139.9,173.3,7,0.005442177,0.512676056,0.081199707,0.101373447,0.082644628,0.066502463,0.006603774,0.119732441,0.042668735,0.061456753,0.083125
